fraction,method,k,sim_time_s,pred_time_s,MRR
600,cosine,10,8.399365469813347e-08,1.175132707998273,0.9293333333333333
600,cosine,20,2.500019036233425e-07,1.4499178330006544,0.9293333333333333
600,cosine,50,2.500019036233425e-07,1.401066250007716,0.9293333333333333
600,cosine,100,3.3300602808594704e-07,1.5007864169892855,0.9293333333333333
600,pearson,10,3.3300602808594704e-07,17.03725054100505,0.9293333333333333
600,pearson,20,7.90998456068337e-07,38.34592245800013,0.9293333333333333
600,pearson,50,5.00003807246685e-07,29.2923906250071,0.9293333333333333
600,pearson,100,6.67001586407423e-07,28.72856375000265,0.9293333333333333
700,cosine,10,6.250047590583563e-07,1.9739658329926897,0.9297142857142856
700,cosine,20,4.580069798976183e-07,1.7234811249945778,0.9297142857142856
700,cosine,50,2.9099464882165194e-07,2.036447999998927,0.9297142857142856
700,cosine,100,5.409965524449944e-07,2.49685470800614,0.9297142857142856
700,pearson,10,3.7500285543501377e-07,23.42975095800648,0.9297142857142856
700,pearson,20,4.999892553314567e-07,36.46350970900676,0.9297142857142856
700,pearson,50,1.0420044418424368e-06,35.40834008299862,0.9297142857142856
700,pearson,100,5.00003807246685e-07,35.43042504201003,0.9297142857142856
800,cosine,10,5.419860826805234e-07,1.882766750000883,0.8638142135642135
800,cosine,20,3.7500285543501377e-07,1.9012762080092216,0.8638142135642135
800,cosine,50,5.00003807246685e-07,1.9678259170032106,0.8638142135642135
800,cosine,100,4.999892553314567e-07,1.6638585409964435,0.8638142135642135
800,pearson,10,5.419860826805234e-07,30.176153874999727,0.8638142135642135
800,pearson,20,4.169996827840805e-07,43.271127500003786,0.8638142135642135
800,pearson,50,4.169996827840805e-07,43.86595745799423,0.8638142135642135
800,pearson,100,4.999892553314567e-07,41.214195041000494,0.8638142135642135
900,cosine,10,9.170034900307655e-07,1.3844622090109624,0.8476049089799089
900,cosine,20,6.250047590583563e-07,1.6741316249972442,0.8476049089799089
900,cosine,50,5.420006345957518e-07,1.8372076249943348,0.8476049089799089
900,cosine,100,5.839974619448185e-07,1.8036102500045672,0.8476049089799089
900,pearson,10,2.9199873097240925e-07,34.09729183300806,0.8476049089799089
900,pearson,20,3.3300602808594704e-07,46.765743249998195,0.8476049089799089
900,pearson,50,3.3300602808594704e-07,47.272915207999176,0.8476049089799089
900,pearson,100,1.1250085663050413e-06,48.83738775001257,0.8476049089799089
