fraction,method,k,sim_time_s,pred_time_s,MRR
100,cosine,20,2.500019036233425e-07,0.0078574169892817,1.0
100,pearson,100,4.580069798976183e-07,0.0166502079955535,1.0
100,pearson,50,1.6600824892520905e-07,0.0167239580041496,1.0
100,pearson,20,1.2500095181167128e-07,0.0159105000057024,1.0
100,pearson,10,2.0899460650980473e-07,0.0175996250036405,1.0
100,cosine,100,1.66997779160738e-07,0.0065209999884245,1.0
100,cosine,50,1.2500095181167128e-07,0.0075037920032627,1.0
100,cosine,10,1.2500095181167128e-07,0.0275913750083418,1.0
200,pearson,100,5.00003807246685e-07,0.3654004160052864,1.0
200,pearson,50,2.500019036233425e-07,0.4112939159967936,1.0
200,pearson,20,5.409965524449944e-07,0.1834306249947985,1.0
200,pearson,10,1.2500095181167128e-07,0.3035933750070398,1.0
200,cosine,100,3.7500285543501377e-07,0.2313303339906269,1.0
200,cosine,50,1.66997779160738e-07,0.2434641250001732,1.0
200,cosine,20,5.00003807246685e-07,0.1044062500004656,1.0
200,cosine,10,1.2090022210031748e-06,0.2056217079953057,1.0
300,cosine,10,1.2500095181167128e-07,0.317231291992357,1.0
300,pearson,50,4.580069798976183e-07,2.1870118329970865,1.0
300,pearson,100,6.67001586407423e-07,2.714198749992647,1.0
300,pearson,20,9.159994078800082e-07,1.1597149169974728,1.0
300,pearson,10,1.2500095181167128e-07,1.2529455839976436,1.0
300,cosine,100,5.840120138600469e-07,0.5467760000028647,1.0
300,cosine,50,2.920132828876376e-07,0.3674935420131078,1.0
300,cosine,20,4.999892553314567e-07,0.2493588340003043,1.0
400,pearson,50,1.2500095181167128e-07,4.826753542001825,0.9675925925925926
400,pearson,20,8.749921107664704e-07,2.7660842500044964,0.9675925925925926
400,pearson,10,3.7500285543501377e-07,3.036055208009202,0.9675925925925926
400,cosine,100,2.0800507627427578e-07,0.6428749170008814,0.9675925925925926
400,cosine,50,5.00003807246685e-07,0.8043352920067264,0.9675925925925926
400,cosine,20,3.329914761707187e-07,0.4173139160120627,0.9675925925925926
400,cosine,10,1.66997779160738e-07,0.4349167920008767,0.9675925925925926
400,pearson,100,6.250047590583563e-07,4.745476249998319,0.9675925925925926
500,pearson,50,5.00003807246685e-07,8.250272874996881,0.9734848484848484
500,pearson,20,2.500019036233425e-07,8.348061041993788,0.9734848484848484
500,pearson,100,3.749883035197854e-07,8.405659124997328,0.9734848484848484
500,pearson,10,6.659975042566657e-07,4.989482375007356,0.9734848484848484
500,cosine,50,8.750066626816988e-07,0.7123626669927035,0.9734848484848484
500,cosine,20,1.66997779160738e-07,0.908318165995297,0.9734848484848484
500,cosine,10,2.0899460650980473e-07,0.7263147500052582,0.9734848484848484
500,cosine,100,5.830079317092896e-07,0.813968707996537,0.9734848484848484
600,cosine,20,2.500019036233425e-07,1.4499178330006544,0.9293333333333332
600,cosine,10,8.399365469813348e-08,1.175132707998273,0.9293333333333332
600,pearson,10,3.330060280859471e-07,17.03725054100505,0.9293333333333332
600,pearson,20,7.90998456068337e-07,38.34592245800013,0.9293333333333332
600,pearson,50,5.00003807246685e-07,29.2923906250071,0.9293333333333332
600,pearson,100,6.67001586407423e-07,28.72856375000265,0.9293333333333332
600,cosine,100,3.330060280859471e-07,1.5007864169892855,0.9293333333333332
600,cosine,50,2.500019036233425e-07,1.401066250007716,0.9293333333333332
700,cosine,10,6.250047590583563e-07,1.9739658329926897,0.9297142857142856
700,cosine,50,2.9099464882165194e-07,2.036447999998927,0.9297142857142856
700,cosine,100,5.409965524449944e-07,2.49685470800614,0.9297142857142856
700,pearson,10,3.7500285543501377e-07,23.42975095800648,0.9297142857142856
700,pearson,20,4.999892553314567e-07,36.46350970900676,0.9297142857142856
700,pearson,50,1.0420044418424368e-06,35.40834008299862,0.9297142857142856
700,pearson,100,5.00003807246685e-07,35.43042504201003,0.9297142857142856
700,cosine,20,4.580069798976183e-07,1.7234811249945778,0.9297142857142856
800,cosine,10,5.419860826805234e-07,1.882766750000883,0.8638142135642135
800,cosine,100,4.999892553314567e-07,1.6638585409964437,0.8638142135642135
800,pearson,10,5.419860826805234e-07,30.176153874999727,0.8638142135642135
800,pearson,20,4.169996827840805e-07,43.271127500003786,0.8638142135642135
800,pearson,50,4.169996827840805e-07,43.86595745799423,0.8638142135642135
800,pearson,100,4.999892553314567e-07,41.214195041000494,0.8638142135642135
800,cosine,50,5.00003807246685e-07,1.9678259170032104,0.8638142135642135
800,cosine,20,3.7500285543501377e-07,1.9012762080092216,0.8638142135642135
900,cosine,10,9.170034900307656e-07,1.3844622090109624,0.8476049089799089
900,cosine,20,6.250047590583563e-07,1.6741316249972442,0.8476049089799089
900,cosine,50,5.420006345957518e-07,1.8372076249943348,0.8476049089799089
900,cosine,100,5.839974619448185e-07,1.8036102500045672,0.8476049089799089
900,pearson,10,2.9199873097240925e-07,34.09729183300806,0.8476049089799089
900,pearson,20,3.330060280859471e-07,46.765743249998195,0.8476049089799089
900,pearson,100,1.125008566305041e-06,48.83738775001257,0.8476049089799089
900,pearson,50,3.330060280859471e-07,47.272915207999176,0.8476049089799089
