Hero Name 1,Hero Name 2,Similarity (%),Sources for Hero 1,Sources for Hero 2
"RICHARDS, FRANKLIN 2","RICHARDS, FRANKLIN B",95.0,"edges_df, nodes_df","edges_df, nodes_df"
SUNFIRE/SHIRO YASHID,SUNFIRE/SHIRO YOSHID,95.0,"edges_df, nodes_df","edges_df, nodes_df"
"STRUCKER, ANDREA","STRUCKER, ANDREAS",94.1,"edges_df, nodes_df","edges_df, nodes_df"
MADAME MASQUE II/,MADAME MASQUE III,94.1,"edges_df, nodes_df","edges_df, nodes_df"
"BALLANTINE, MR.","BALLANTINE, MRS.",93.8,"edges_df, nodes_df","edges_df, nodes_df"
MADAME MASQUE V,MADAME MASQUE IV,93.8,"edges_df, nodes_df","edges_df, nodes_df"
MADAME MASQUE V,MADAME MASQUE VI,93.8,"edges_df, nodes_df","edges_df, nodes_df"
MASTER MOLD II,MASTER MOLD III,93.3,"edges_df, nodes_df","edges_df, nodes_df"
"PARKER, MAY II","PARKER, MAY III",93.3,"edges_df, nodes_df","edges_df, nodes_df"
RED GUARDIAN V,RED GUARDIAN IV,93.3,"edges_df, nodes_df","edges_df, nodes_df"
EXECUTIONER V,EXECUTIONER IV,92.9,"edges_df, nodes_df","edges_df, nodes_df"
HATE-MONGER V,HATE-MONGER IV,92.9,"edges_df, nodes_df","edges_df, nodes_df"
"MARTINEZ, MR.","MARTINEZ, MRS.",92.9,"edges_df, nodes_df","edges_df, nodes_df"
COPPERHEAD II/,COPPERHEAD IV/,92.9,"edges_df, nodes_df","edges_df, nodes_df"
HATE-MONGER II,HATE-MONGER IV,92.9,"edges_df, nodes_df","edges_df, nodes_df"
POWERHOUSE II/,POWERHOUSE IV/,92.9,"edges_df, nodes_df","edges_df, nodes_df"
AQUARIUS II/,AQUARIUS III/,92.3,"edges_df, nodes_df","edges_df, nodes_df"
BERSERKER II,BERSERKER III,92.3,"edges_df, nodes_df","edges_df, nodes_df"
HURRICANE II,HURRICANE III,92.3,"edges_df, nodes_df","edges_df, nodes_df"
"RANDEAU, DR.","REANDEAU, DR.",92.3,"edges_df, nodes_df","edges_df, nodes_df"
RAZORFIST II,RAZORFIST III,92.3,"edges_df, nodes_df","edges_df, nodes_df"
ATOM-SMASHER/,ATOM SMASHER/,92.3,"edges_df, nodes_df","edges_df, nodes_df"
"JONES, ANDY","JONES, SANDY",91.7,"edges_df, nodes_df","edges_df, nodes_df"
LEVIATHAN V,LEVIATHAN IV,91.7,"edges_df, nodes_df","edges_df, nodes_df"
LEVIATHAN V,LEVIATHAN VI,91.7,"edges_df, nodes_df","edges_df, nodes_df"
MINOTAUR II,MINOTAUR III,91.7,"edges_df, nodes_df","edges_df, nodes_df"
"PARKER, MAY","PARKER, MARY",91.7,"edges_df, nodes_df","edges_df, nodes_df"
"RHODES, MR.","RHODES, MRS.",91.7,"edges_df, nodes_df","edges_df, nodes_df"
"SHAARA, MR.","SHAARA, MRS.",91.7,"edges_df, nodes_df","edges_df, nodes_df"
"SMITH, ANDY","SMITH, MANDY",91.7,"edges_df, nodes_df","edges_df, nodes_df"
STINGER II/,STINGER III/,91.7,"edges_df, nodes_df","edges_df, nodes_df"
UNICORN II/,UNICORN III/,91.7,"edges_df, nodes_df","edges_df, nodes_df"
