fraction,method,k,sim_time_s,pred_time_s,MRR
1000,cosine,50,1.2500095181167126e-07,2.344972416991368,0.8164725829725828
1000,cosine,100,3.7500285543501377e-07,2.1203978749981616,0.8164725829725828
1000,pearson,50,8.374991011805832e-06,53.31391570800042,0.8164725829725828
1000,pearson,100,4.169996827840805e-07,69.038401333004,0.8164725829725828
1500,cosine,50,4.999892553314567e-07,2.1023184999939986,0.7399250052196161
1500,cosine,100,2.9199873097240925e-07,2.27812154100684,0.7399250052196161
1500,pearson,50,2.0800507627427578e-07,136.54858991700166,0.7399250052196161
1500,pearson,100,7.079943316057324e-07,137.81623504200252,0.7399250052196161
2000,cosine,50,3.3300602808594704e-07,2.799773416001699,0.7313255244964858
2000,cosine,100,2.9099464882165194e-07,2.7533479999983683,0.7313255244964858
2000,pearson,50,4.169996827840805e-07,227.01409316599893,0.7313255244964858
2000,pearson,100,5.00003807246685e-07,198.57274329199572,0.7313255244964858
