fraction,method,k,sim_time_s,pred_time_s,MRR
100,cosine,10,1.2500095181167126e-07,0.027591375008341856,1.0
100,cosine,20,2.500019036233425e-07,0.007857416989281774,1.0
100,cosine,50,1.2500095181167126e-07,0.007503792003262788,1.0
100,cosine,100,1.66997779160738e-07,0.006520999988424592,1.0
100,pearson,10,2.0899460650980473e-07,0.01759962500364054,1.0
100,pearson,20,1.2500095181167126e-07,0.015910500005702488,1.0
100,pearson,50,1.6600824892520905e-07,0.01672395800414961,1.0
100,pearson,100,4.580069798976183e-07,0.0166502079955535,1.0
200,cosine,10,1.2090022210031748e-06,0.20562170799530577,1.0
200,cosine,20,5.00003807246685e-07,0.10440625000046566,1.0
200,cosine,50,1.66997779160738e-07,0.24346412500017323,1.0
200,cosine,100,3.7500285543501377e-07,0.23133033399062697,1.0
200,pearson,10,1.2500095181167126e-07,0.30359337500703987,1.0
200,pearson,20,5.409965524449944e-07,0.18343062499479856,1.0
200,pearson,50,2.500019036233425e-07,0.41129391599679366,1.0
200,pearson,100,5.00003807246685e-07,0.3654004160052864,1.0
500,cosine,10,2.0899460650980473e-07,0.7263147500052582,0.9734848484848485
500,cosine,20,1.66997779160738e-07,0.908318165995297,0.9734848484848485
500,cosine,50,8.750066626816988e-07,0.7123626669927035,0.9734848484848485
500,cosine,100,5.830079317092896e-07,0.813968707996537,0.9734848484848485
500,pearson,10,6.659975042566657e-07,4.989482375007356,0.9734848484848485
500,pearson,20,2.500019036233425e-07,8.348061041993788,0.9734848484848485
500,pearson,50,5.00003807246685e-07,8.250272874996881,0.9734848484848485
500,pearson,100,3.749883035197854e-07,8.405659124997328,0.9734848484848485
